cell_cycle_GO:0007049,extracellular_matrix_GO:0031012,epithelial_to_mesencyhmal_transition_GO:0001837,lipid_catabolic_process_GO:0016042,canonical_glycolysis_GO:0061621,glycolytic_process_GO:0006096,glucose_catabolic_process_GO:0006007,tricarboxylic_acid_cycle_GO:0006099,oxidative_phosphorylation_GO:0006119,fatty_acid_oxidation_GO:0019395,regulation_of_pyruvate_kinase_activity_GO.1903301,regulation_of_glucose_catabolic_process_to_lactate_via_pyruvate_GO.1904023,regulation_of_lipid_storage_GO.0010883,fatty_acid_homeostasis_GO.0055089,glucose_transmembrane_transport_GO.1904659,long-chain_fatty_acid_import_into_cell_GO.0044539,malonyl-CoA_metabolic_process_GO.2001293,response_to_unfolded_protein_GO.0006986,cellular_response_to_hypoxia_GO.0071456,response_to_type_I_interferon_GO.0034340
Ripk1,Sspo,,,,,,,,,,,,,,,,,,
Clasp1,Dmp1,,,,,,,,,,,,,,,,,,
Clasp1,Dmp1,,,,,,,,,,,,,,,,,,
Clasp1,Fgl2,,,,,,,,,,,,,,,,,,
Clasp1,Gp1ba,,,,,,,,,,,,,,,,,,
Clasp1,Hcfc1,,,,,,,,,,,,,,,,,,
Clasp1,Hcfc1,,,,,,,,,,,,,,,,,,
Clasp1,Mfge8,,,,,,,,,,,,,,,,,,
Clasp1,Mfge8,,,,,,,,,,,,,,,,,,
Eif4g3,Lgals9,,,,,,,,,,,,,,,,,,
Majin,Prss2,,,,,,,,,,,,,,,,,,
Majin,Prss3,,,,,,,,,,,,,,,,,,
Majin,Try4,,,,,,,,,,,,,,,,,,
Majin,Reg3g,,,,,,,,,,,,,,,,,,
Majin,Hspg2,,,,,,,,,,,,,,,,,,
Majin,Hspg2,,,,,,,,,,,,,,,,,,
Ncapg2,Hspg2,,,,,,,,,,,,,,,,,,
Ncapg2,Hspg2,,,,,,,,,,,,,,,,,,
Brinp3,Hspg2,,,,,,,,,,,,,,,,,,
Brinp3,Hspg2,,,,,,,,,,,,,,,,,,
Brinp3,Hspg2,,,,,,,,,,,,,,,,,,
Brinp3,Hspg2,,,,,,,,,,,,,,,,,,
Brinp3,Hspg2,,,,,,,,,,,,,,,,,,
Taf2,Hspg2,,,,,,,,,,,,,,,,,,
Deup1,Hspg2,,,,,,,,,,,,,,,,,,
Ncaph,Hspg2,,,,,,,,,,,,,,,,,,
Ncaph,Hspg2,,,,,,,,,,,,,,,,,,
Ncaph,Hspg2,,,,,,,,,,,,,,,,,,
Ncaph,Hspg2,,,,,,,,,,,,,,,,,,
Ncaph,Hspg2,,,,,,,,,,,,,,,,,,
Ncaph,Hspg2,,,,,,,,,,,,,,,,,,
Ncaph,Hspg2,,,,,,,,,,,,,,,,,,
Ncaph,Hspg2,,,,,,,,,,,,,,,,,,
Klhl42,Hspg2,,,,,,,,,,,,,,,,,,
Espl1,Hspg2,,,,,,,,,,,,,,,,,,
Espl1,Hsp90aa1,,,,,,,,,,,,,,,,,,
Espl1,Srpx2,,,,,,,,,,,,,,,,,,
Espl1,Srpx2,,,,,,,,,,,,,,,,,,
Espl1,Ptprz1,,,,,,,,,,,,,,,,,,
Espl1,Ptprz1,,,,,,,,,,,,,,,,,,
Espl1,Ptprz1,,,,,,,,,,,,,,,,,,
Spag8,Ptprz1,,,,,,,,,,,,,,,,,,
Esco1,Kazald1,,,,,,,,,,,,,,,,,,
Esco1,Kazald1,,,,,,,,,,,,,,,,,,
BC034090,Kazald1,,,,,,,,,,,,,,,,,,
Sac3d1,Ucma,,,,,,,,,,,,,,,,,,
Sac3d1,Ucma,,,,,,,,,,,,,,,,,,
Sac3d1,Ucma,,,,,,,,,,,,,,,,,,
Sac3d1,Nepn,,,,,,,,,,,,,,,,,,
Sac3d1,Nepn,,,,,,,,,,,,,,,,,,
Rtf2,Nepn,,,,,,,,,,,,,,,,,,
Washc5,Nav2,,,,,,,,,,,,,,,,,,
Washc5,Nav2,,,,,,,,,,,,,,,,,,
Brme1,Sema6d,,,,,,,,,,,,,,,,,,
Brme1,Mepe,,,,,,,,,,,,,,,,,,
Brme1,Mepe,,,,,,,,,,,,,,,,,,
Brme1,Zg16,,,,,,,,,,,,,,,,,,
Chmp4c,Matn2,,,,,,,,,,,,,,,,,,
Chmp4c,Matn2,,,,,,,,,,,,,,,,,,
Chmp4c,Matn2,,,,,,,,,,,,,,,,,,
Chmp4c,Matn2,,,,,,,,,,,,,,,,,,
Chmp4c,Matn2,,,,,,,,,,,,,,,,,,
Chmp4c,Matn2,,,,,,,,,,,,,,,,,,
Uba3,Matn2,,,,,,,,,,,,,,,,,,
Uba3,Igfbp6,,,,,,,,,,,,,,,,,,
Uba3,Igfbp6,,,,,,,,,,,,,,,,,,
Uba3,Igf2,,,,,,,,,,,,,,,,,,
Tdrd9,Igf1,,,,,,,,,,,,,,,,,,
Tdrd9,Hapln2,,,,,,,,,,,,,,,,,,
Tdrd9,Hapln2,,,,,,,,,,,,,,,,,,
Fam32a,Fcna,,,,,,,,,,,,,,,,,,
Ssx2ip,Hnrnpm,,,,,,,,,,,,,,,,,,
Pax6,Cthrc1,,,,,,,,,,,,,,,,,,
Trp53i13,Pcsk6,,,,,,,,,,,,,,,,,,
Rprm,Pcsk6,,,,,,,,,,,,,,,,,,
Rprm,Vcan,,,,,,,,,,,,,,,,,,
Rprm,Vcan,,,,,,,,,,,,,,,,,,
Eif4e,Vcan,,,,,,,,,,,,,,,,,,
Eif4e,Vcan,,,,,,,,,,,,,,,,,,
Ppp6c,Vcan,,,,,,,,,,,,,,,,,,
Plk5,Vcan,,,,,,,,,,,,,,,,,,
Plk5,2300002M23Rik,,,,,,,,,,,,,,,,,,
Plk5,2300002M23Rik,,,,,,,,,,,,,,,,,,
Plk5,2300002M23Rik,,,,,,,,,,,,,,,,,,
Plk5,Vit,,,,,,,,,,,,,,,,,,
Plk5,Vit,,,,,,,,,,,,,,,,,,
Plk5,Vit,,,,,,,,,,,,,,,,,,
Mta3,Vit,,,,,,,,,,,,,,,,,,
Brinp2,Mgp,,,,,,,,,,,,,,,,,,
Brinp2,Mgp,,,,,,,,,,,,,,,,,,
Brinp2,Myoc,,,,,,,,,,,,,,,,,,
Brinp2,Mbl2,,,,,,,,,,,,,,,,,,
Brinp2,Clec3b,,,,,,,,,,,,,,,,,,
Dclre1a,Adamts14,,,,,,,,,,,,,,,,,,
Piwil2,Hsd17b12,,,,,,,,,,,,,,,,,,
Piwil2,F13a1,,,,,,,,,,,,,,,,,,
Nipbl,F13a1,,,,,,,,,,,,,,,,,,
Nipbl,F13a1,,,,,,,,,,,,,,,,,,
Nipbl,Sftpa1,,,,,,,,,,,,,,,,,,
Nipbl,Entpd1,,,,,,,,,,,,,,,,,,
Nipbl,Try10,,,,,,,,,,,,,,,,,,
Nipbl,Olfml2a,,,,,,,,,,,,,,,,,,
Nipbl,Olfml2a,,,,,,,,,,,,,,,,,,
Actr2,Creld1,,,,,,,,,,,,,,,,,,
Actr2,Vwa1,,,,,,,,,,,,,,,,,,
Actr2,Vwa1,,,,,,,,,,,,,,,,,,
Actr2,Vwa1,,,,,,,,,,,,,,,,,,
Atrip,Vwa1,,,,,,,,,,,,,,,,,,
Chmp3,Vwa1,,,,,,,,,,,,,,,,,,
Chmp3,Vwa1,,,,,,,,,,,,,,,,,,
Chmp3,Vwa1,,,,,,,,,,,,,,,,,,
Chmp3,Vwa1,,,,,,,,,,,,,,,,,,
Rae1,Vwa1,,,,,,,,,,,,,,,,,,
Rae1,Adamtsl4,,,,,,,,,,,,,,,,,,
Chmp7,Adamtsl4,,,,,,,,,,,,,,,,,,
Chmp7,Adamtsl4,,,,,,,,,,,,,,,,,,
Chmp7,Nphs1,,,,,,,,,,,,,,,,,,
Ccnh,Oc90,,,,,,,,,,,,,,,,,,
Ccnh,Oc90,,,,,,,,,,,,,,,,,,
Lig1,Krt1,,,,,,,,,,,,,,,,,,
Lig1,Itih3,,,,,,,,,,,,,,,,,,
Mybl2,Itih2,,,,,,,,,,,,,,,,,,
Mybl2,Itih2,,,,,,,,,,,,,,,,,,
Rptor,Itih1,,,,,,,,,,,,,,,,,,
Ttl,Itih1,,,,,,,,,,,,,,,,,,
Ttl,Itih1,,,,,,,,,,,,,,,,,,
Rmi1,Itgb4,,,,,,,,,,,,,,,,,,
Tex12,Itgb1,,,,,,,,,,,,,,,,,,
Tex12,Itga6,,,,,,,,,,,,,,,,,,
Tex12,Lingo4,,,,,,,,,,,,,,,,,,
Tex12,Rtn4rl2,,,,,,,,,,,,,,,,,,
Tex12,Atrnl1,,,,,,,,,,,,,,,,,,
Cdk5,Mfap4,,,,,,,,,,,,,,,,,,
Cdk5,Mfap4,,,,,,,,,,,,,,,,,,
Cdk5,Mfap4,,,,,,,,,,,,,,,,,,
Hmga2,Mfap4,,,,,,,,,,,,,,,,,,
Hmga2,Mfap4,,,,,,,,,,,,,,,,,,
Hmga2,Mfap4,,,,,,,,,,,,,,,,,,
Specc1l,Gsto1,,,,,,,,,,,,,,,,,,
Cfl1,Kng1,,,,,,,,,,,,,,,,,,
Cfl1,Ins2,,,,,,,,,,,,,,,,,,
Anxa11,Ins1,,,,,,,,,,,,,,,,,,
Anxa11,Igfbp7,,,,,,,,,,,,,,,,,,
Anxa11,Igfbp7,,,,,,,,,,,,,,,,,,
Terb2,Igfbp7,,,,,,,,,,,,,,,,,,
Terb2,Igfbp7,,,,,,,,,,,,,,,,,,
Terb2,Umod,,,,,,,,,,,,,,,,,,
Terb2,Omd,,,,,,,,,,,,,,,,,,
Terb2,Omd,,,,,,,,,,,,,,,,,,
Terb2,Lum,,,,,,,,,,,,,,,,,,
Ofd1,Lum,,,,,,,,,,,,,,,,,,
Ofd1,Lum,,,,,,,,,,,,,,,,,,
Ofd1,Lum,,,,,,,,,,,,,,,,,,
Fzd3,Lum,,,,,,,,,,,,,,,,,,
Ralbp1,Lum,,,,,,,,,,,,,,,,,,
Tuba8,Lum,,,,,,,,,,,,,,,,,,
Pcna,Lad1,,,,,,,,,,,,,,,,,,
Cpeb1,Hapln4,,,,,,,,,,,,,,,,,,
Cpeb1,Mmp15,,,,,,,,,,,,,,,,,,
Ppm1d,Mmp23,,,,,,,,,,,,,,,,,,
Ppm1d,Adamts2,,,,,,,,,,,,,,,,,,
Egfr,Adamts2,,,,,,,,,,,,,,,,,,
Egfr,Adamts2,,,,,,,,,,,,,,,,,,
Egfr,Adamts6,,,,,,,,,,,,,,,,,,
Egf,Adamts7,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Emilin1,,,,,,,,,,,,,,,,,,
Cdca5,Mfap1a,,,,,,,,,,,,,,,,,,
Cdca5,Mfap1a,,,,,,,,,,,,,,,,,,
Cdca5,Mfap1a,,,,,,,,,,,,,,,,,,
Usp29,Crispld2,,,,,,,,,,,,,,,,,,
Cspp1,Cela3b,,,,,,,,,,,,,,,,,,
Cspp1,Shh,,,,,,,,,,,,,,,,,,
Nup62,Tfip11,,,,,,,,,,,,,,,,,,
Nup62,Colec12,,,,,,,,,,,,,,,,,,
Nup62,Rell2,,,,,,,,,,,,,,,,,,
Nup62,Rell2,,,,,,,,,,,,,,,,,,
Nup62,S100a13,,,,,,,,,,,,,,,,,,
Nup62,Lama4,,,,,,,,,,,,,,,,,,
Nup62,Lama4,,,,,,,,,,,,,,,,,,
Nup62,Lama4,,,,,,,,,,,,,,,,,,
Pias1,Lama4,,,,,,,,,,,,,,,,,,
Ripor2,Lama4,,,,,,,,,,,,,,,,,,
Ripor2,Lama4,,,,,,,,,,,,,,,,,,
Melk,Lama4,,,,,,,,,,,,,,,,,,
Cenpw,Lama4,,,,,,,,,,,,,,,,,,
Cenpw,Lama4,,,,,,,,,,,,,,,,,,
Cenpw,Lama4,,,,,,,,,,,,,,,,,,
Cdk15,Loxl2,,,,,,,,,,,,,,,,,,
Chmp6,Loxl2,,,,,,,,,,,,,,,,,,
Chmp6,Muc5ac,,,,,,,,,,,,,,,,,,
Appl2,Ncan,,,,,,,,,,,,,,,,,,
Appl2,Ncan,,,,,,,,,,,,,,,,,,
Mplkip,Col4a3,,,,,,,,,,,,,,,,,,
Haus2,Col4a3,,,,,,,,,,,,,,,,,,
Haus2,Col4a3,,,,,,,,,,,,,,,,,,
Haus2,Col4a3,,,,,,,,,,,,,,,,,,
Gm49450,Col4a3,,,,,,,,,,,,,,,,,,
Mtbp,Col4a3,,,,,,,,,,,,,,,,,,
Mtbp,Col4a3,,,,,,,,,,,,,,,,,,
Mtbp,Col4a3,,,,,,,,,,,,,,,,,,
Mtbp,Col4a3,,,,,,,,,,,,,,,,,,
Mtbp,Col4a3,,,,,,,,,,,,,,,,,,
Mtbp,Col4a3,,,,,,,,,,,,,,,,,,
Ppp1r12a,Col4a4,,,,,,,,,,,,,,,,,,
Ppp1r12a,Col4a4,,,,,,,,,,,,,,,,,,
Nanog,Col4a4,,,,,,,,,,,,,,,,,,
Cdc7,Col4a4,,,,,,,,,,,,,,,,,,
Cdc7,Col4a4,,,,,,,,,,,,,,,,,,
Cdc7,Col4a4,,,,,,,,,,,,,,,,,,
Cdc7,Col4a4,,,,,,,,,,,,,,,,,,
Camk2n1,Col4a4,,,,,,,,,,,,,,,,,,
Camk2n1,Col4a4,,,,,,,,,,,,,,,,,,
Fancd2,Col4a4,,,,,,,,,,,,,,,,,,
Fancd2,Col4a4,,,,,,,,,,,,,,,,,,
Fancd2,Col4a4,,,,,,,,,,,,,,,,,,
Fancd2,Col4a4,,,,,,,,,,,,,,,,,,
Fancd2,Col4a4,,,,,,,,,,,,,,,,,,
Bid,Col4a4,,,,,,,,,,,,,,,,,,
Bin1,Col4a4,,,,,,,,,,,,,,,,,,
Hpgd,Col4a4,,,,,,,,,,,,,,,,,,
Cep250,Adamtsl2,,,,,,,,,,,,,,,,,,
Cep250,Adamtsl2,,,,,,,,,,,,,,,,,,
Cep250,Tnfrsf11b,,,,,,,,,,,,,,,,,,
Cep250,Vwc2,,,,,,,,,,,,,,,,,,
Ifnz,Vwc2,,,,,,,,,,,,,,,,,,
Stag1,Vwc2,,,,,,,,,,,,,,,,,,
Stag1,Tectb,,,,,,,,,,,,,,,,,,
Stag1,Tectb,,,,,,,,,,,,,,,,,,
Knstrn,Tectb,,,,,,,,,,,,,,,,,,
Knstrn,Tectb,,,,,,,,,,,,,,,,,,
Knstrn,Tectb,,,,,,,,,,,,,,,,,,
Knstrn,Ctsc,,,,,,,,,,,,,,,,,,
Knstrn,Adam10,,,,,,,,,,,,,,,,,,
Knstrn,Adam10,,,,,,,,,,,,,,,,,,
Knstrn,Egfl7,,,,,,,,,,,,,,,,,,
Meiosin,Egfl7,,,,,,,,,,,,,,,,,,
Meiosin,Itih4,,,,,,,,,,,,,,,,,,
Ppp1r10,Itih4,,,,,,,,,,,,,,,,,,
Ccna1,Sftpb,,,,,,,,,,,,,,,,,,
Ccna1,Sftpd,,,,,,,,,,,,,,,,,,
Ccna1,Sftpd,,,,,,,,,,,,,,,,,,
Ccna1,Cstb,,,,,,,,,,,,,,,,,,
Ppp2r2d,Plxnb2,,,,,,,,,,,,,,,,,,
Atr,Plxnb2,,,,,,,,,,,,,,,,,,
Atr,Serpini2,,,,,,,,,,,,,,,,,,
Atr,Fcgbp,,,,,,,,,,,,,,,,,,
Rad21,Fcgbp,,,,,,,,,,,,,,,,,,
Rad21,Fgl1,,,,,,,,,,,,,,,,,,
Rad21,Hapln3,,,,,,,,,,,,,,,,,,
Rad21,Tecta,,,,,,,,,,,,,,,,,,
Rad21,Tecta,,,,,,,,,,,,,,,,,,
Rad21,Tecta,,,,,,,,,,,,,,,,,,
Rad21,Tecta,,,,,,,,,,,,,,,,,,
Clasp2,Tecta,,,,,,,,,,,,,,,,,,
Clasp2,Anxa1,,,,,,,,,,,,,,,,,,
Clasp2,Anxa1,,,,,,,,,,,,,,,,,,
Clasp2,Anxa1,,,,,,,,,,,,,,,,,,
Clasp2,Lox,,,,,,,,,,,,,,,,,,
Clasp2,Lox,,,,,,,,,,,,,,,,,,
Haus8,Lox,,,,,,,,,,,,,,,,,,
Haus8,Lox,,,,,,,,,,,,,,,,,,
Haus8,Lox,,,,,,,,,,,,,,,,,,
Haus8,Col4a6,,,,,,,,,,,,,,,,,,
Haus8,Col4a6,,,,,,,,,,,,,,,,,,
Uhrf1,Col4a6,,,,,,,,,,,,,,,,,,
Jtb,Col4a6,,,,,,,,,,,,,,,,,,
Jtb,Col4a6,,,,,,,,,,,,,,,,,,
Jtb,Col4a6,,,,,,,,,,,,,,,,,,
Jtb,Col4a6,,,,,,,,,,,,,,,,,,
Brd4,Col4a6,,,,,,,,,,,,,,,,,,
Brd4,Col4a6,,,,,,,,,,,,,,,,,,
Fntb,Col4a6,,,,,,,,,,,,,,,,,,
Chtf18,Col4a6,,,,,,,,,,,,,,,,,,
Chtf18,Col4a6,,,,,,,,,,,,,,,,,,
Chtf18,Col4a6,,,,,,,,,,,,,,,,,,
Pin1,Col4a6,,,,,,,,,,,,,,,,,,
Pin1,Spon2,,,,,,,,,,,,,,,,,,
Pin1,Spon2,,,,,,,,,,,,,,,,,,
Pogz,Mmp25,,,,,,,,,,,,,,,,,,
Pogz,Elfn2,,,,,,,,,,,,,,,,,,
Camk2d,Lrrtm4,,,,,,,,,,,,,,,,,,
Camk2d,Lrrtm3,,,,,,,,,,,,,,,,,,
Ube2c,Lrrtm1,,,,,,,,,,,,,,,,,,
Ube2c,Adamts17,,,,,,,,,,,,,,,,,,
Ube2c,Adamts17,,,,,,,,,,,,,,,,,,
Ube2c,Ntng2,,,,,,,,,,,,,,,,,,
AY074887,Emilin2,,,,,,,,,,,,,,,,,,
Etaa1,Emilin2,,,,,,,,,,,,,,,,,,
Etaa1,Emilin2,,,,,,,,,,,,,,,,,,
Ino80,Lrrc3c,,,,,,,,,,,,,,,,,,
Ino80,Anxa3,,,,,,,,,,,,,,,,,,
Ino80,Mmp21,,,,,,,,,,,,,,,,,,
Ino80,Spock3,,,,,,,,,,,,,,,,,,
Ino80,Lgals3,,,,,,,,,,,,,,,,,,
Ndc1,Lgals3,,,,,,,,,,,,,,,,,,
Sass6,Lgals3,,,,,,,,,,,,,,,,,,
Sass6,Lgals1,,,,,,,,,,,,,,,,,,
Sass6,Lamb1,,,,,,,,,,,,,,,,,,
Entr1,Lamb1,,,,,,,,,,,,,,,,,,
Entr1,Lamb1,,,,,,,,,,,,,,,,,,
Entr1,Lamb1,,,,,,,,,,,,,,,,,,
Flna,Lamb1,,,,,,,,,,,,,,,,,,
Gm28919,Lamb1,,,,,,,,,,,,,,,,,,
Ddx11,Lamb1,,,,,,,,,,,,,,,,,,
Ddx11,Lamb1,,,,,,,,,,,,,,,,,,
Ddx11,Lamb1,,,,,,,,,,,,,,,,,,
Ccn2,Lamb1,,,,,,,,,,,,,,,,,,
Cdc25a,Lamb1,,,,,,,,,,,,,,,,,,
Cdc25a,Lamb1,,,,,,,,,,,,,,,,,,
Cdc25a,Lamb1,,,,,,,,,,,,,,,,,,
Cdc25a,Lamb1,,,,,,,,,,,,,,,,,,
Cdc25a,Lamb1,,,,,,,,,,,,,,,,,,
Cdc25a,Lamb1,,,,,,,,,,,,,,,,,,
Mcm5,Lamb1,,,,,,,,,,,,,,,,,,
Mcm5,Lamb1,,,,,,,,,,,,,,,,,,
Fgfr3,Lamb1,,,,,,,,,,,,,,,,,,
Fgfr2,Lamb1,,,,,,,,,,,,,,,,,,
Fgfr2,Lamb1,,,,,,,,,,,,,,,,,,
Fgfr1,Lamb1,,,,,,,,,,,,,,,,,,
Fgfr1,Lamb1,,,,,,,,,,,,,,,,,,
Pdcd2l,Lamb1,,,,,,,,,,,,,,,,,,
Fgf2,Lamb1,,,,,,,,,,,,,,,,,,
Fes,Lamb1,,,,,,,,,,,,,,,,,,
Tcf19,Lamb1,,,,,,,,,,,,,,,,,,
Mrnip,Dpt,,,,,,,,,,,,,,,,,,
Ubxn2b,Dpt,,,,,,,,,,,,,,,,,,
Ubxn2b,Dpt,,,,,,,,,,,,,,,,,,
Ccar2,Aspn,,,,,,,,,,,,,,,,,,
Ccar2,Aspn,,,,,,,,,,,,,,,,,,
Chaf1b,Aspn,,,,,,,,,,,,,,,,,,
Dync1h1,Aspn,,,,,,,,,,,,,,,,,,
Dync1h1,Aspn,,,,,,,,,,,,,,,,,,
Dync1h1,Aspn,,,,,,,,,,,,,,,,,,
Dync1h1,Col22a1,,,,,,,,,,,,,,,,,,
Dync1h1,Col22a1,,,,,,,,,,,,,,,,,,
Dync1h1,Col22a1,,,,,,,,,,,,,,,,,,
Dync1h1,Col22a1,,,,,,,,,,,,,,,,,,
Gm29276,Apoe,,,,,,,,,,,,,,,,,,
Tacc1,Ndp,,,,,,,,,,,,,,,,,,
Tacc1,Ndp,,,,,,,,,,,,,,,,,,
Cul9,Ndp,,,,,,,,,,,,,,,,,,
Cul9,Anxa4,,,,,,,,,,,,,,,,,,
Rad54b,Ang,,,,,,,,,,,,,,,,,,
Hmg20b,Amelx,,,,,,,,,,,,,,,,,,
Trim37,Amelx,,,,,,,,,,,,,,,,,,
Trim37,Amelx,,,,,,,,,,,,,,,,,,
Birc3,Ambp,,,,,,,,,,,,,,,,,,
Tacc3,Fgf9,,,,,,,,,,,,,,,,,,
Tacc3,Serpina1a,,,,,,,,,,,,,,,,,,
Tacc3,Serpina1a,,,,,,,,,,,,,,,,,,
Tacc3,Ccl21c,,,,,,,,,,,,,,,,,,
Tacc3,Ccn5,,,,,,,,,,,,,,,,,,
Tacc3,Angptl4,,,,,,,,,,,,,,,,,,
Tacc3,Serpinh1,,,,,,,,,,,,,,,,,,
Klhdc8b,Serpinh1,,,,,,,,,,,,,,,,,,
Klhdc8b,Serpinh1,,,,,,,,,,,,,,,,,,
Klhdc8b,Anxa6,,,,,,,,,,,,,,,,,,
Klhdc8b,Anxa6,,,,,,,,,,,,,,,,,,
Cdkn2d,Anxa6,,,,,,,,,,,,,,,,,,
Cdkn2d,Calr,,,,,,,,,,,,,,,,,,
Cdkn2d,Anxa2,,,,,,,,,,,,,,,,,,
Cdkn2d,Anxa2,,,,,,,,,,,,,,,,,,
Cdkn2d,Anxa2,,,,,,,,,,,,,,,,,,
E2f1,Anxa2,,,,,,,,,,,,,,,,,,
E2f1,Glg1,,,,,,,,,,,,,,,,,,
E2f1,S100a10,,,,,,,,,,,,,,,,,,
E2f1,S100a6,,,,,,,,,,,,,,,,,,
E2f1,Gpc3,,,,,,,,,,,,,,,,,,
E2f1,Gpc4,,,,,,,,,,,,,,,,,,
Rspo1,Mfap5,,,,,,,,,,,,,,,,,,
Dna2,Mfap5,,,,,,,,,,,,,,,,,,
Dna2,Mfap5,,,,,,,,,,,,,,,,,,
Txnl4b,Mfap5,,,,,,,,,,,,,,,,,,
Lemd3,Mfap5,,,,,,,,,,,,,,,,,,
Ptprk,Mfap5,,,,,,,,,,,,,,,,,,
Sbds,Mfap5,,,,,,,,,,,,,,,,,,
Bmp7,Mfap5,,,,,,,,,,,,,,,,,,
Bmp7,Megf9,,,,,,,,,,,,,,,,,,
Rad23a,Megf9,,,,,,,,,,,,,,,,,,
Xlr,Il1rl1,,,,,,,,,,,,,,,,,,
Stx2,Plscr1,,,,,,,,,,,,,,,,,,
Stx2,Cpz,,,,,,,,,,,,,,,,,,
Siah1a,Lamc3,,,,,,,,,,,,,,,,,,
Siah1a,Lamc3,,,,,,,,,,,,,,,,,,
Rab11fip4,Comp,,,,,,,,,,,,,,,,,,
Rab11fip4,Comp,,,,,,,,,,,,,,,,,,
Rab11fip4,Comp,,,,,,,,,,,,,,,,,,
Rab11fip4,Col1a2,,,,,,,,,,,,,,,,,,
Fbxl21,Col1a2,,,,,,,,,,,,,,,,,,
Fbxl21,Col1a2,,,,,,,,,,,,,,,,,,
Ccnt2,Col1a2,,,,,,,,,,,,,,,,,,
Hepacam,Col1a2,,,,,,,,,,,,,,,,,,
Hepacam,Col1a2,,,,,,,,,,,,,,,,,,
Anln,Col1a2,,,,,,,,,,,,,,,,,,
Anln,Col1a2,,,,,,,,,,,,,,,,,,
Anln,Col1a2,,,,,,,,,,,,,,,,,,
Anln,Col1a2,,,,,,,,,,,,,,,,,,
Chmp1a,Ti,,,,,,,,,,,,,,,,,,
Chmp1a,Col1a1,,,,,,,,,,,,,,,,,,
Chmp1a,Col1a1,,,,,,,,,,,,,,,,,,
Chmp1a,Col1a1,,,,,,,,,,,,,,,,,,
Chmp1a,Col1a1,,,,,,,,,,,,,,,,,,
Chmp1a,Col1a1,,,,,,,,,,,,,,,,,,
Chmp1a,Col1a1,,,,,,,,,,,,,,,,,,
Rpa3,Col1a1,,,,,,,,,,,,,,,,,,
Xlr5b,Col1a1,,,,,,,,,,,,,,,,,,
Tubb4b,Col1a1,,,,,,,,,,,,,,,,,,
Gata4,Col1a1,,,,,,,,,,,,,,,,,,
Gata3,Col1a1,,,,,,,,,,,,,,,,,,
Gata3,Col1a1,,,,,,,,,,,,,,,,,,
Gas2,Col1a1,,,,,,,,,,,,,,,,,,
Gas2,Col1a1,,,,,,,,,,,,,,,,,,
Gas1,Col1a1,,,,,,,,,,,,,,,,,,
Gas1,Col1a1,,,,,,,,,,,,,,,,,,
Gas1,Col1a1,,,,,,,,,,,,,,,,,,
Gas1,Col1a1,,,,,,,,,,,,,,,,,,
Gas1,Col1a1,,,,,,,,,,,,,,,,,,
Ttll12,Col9a2,,,,,,,,,,,,,,,,,,
Map3k11,Col9a2,,,,,,,,,,,,,,,,,,
Map3k8,Col9a2,,,,,,,,,,,,,,,,,,
Spire1,Col9a2,,,,,,,,,,,,,,,,,,
Spire1,Col9a1,,,,,,,,,,,,,,,,,,
Spire1,Col9a1,,,,,,,,,,,,,,,,,,
Spire1,Col9a1,,,,,,,,,,,,,,,,,,
Spire1,Col8a2,,,,,,,,,,,,,,,,,,
Spire1,Col8a2,,,,,,,,,,,,,,,,,,
Spire1,Col8a2,,,,,,,,,,,,,,,,,,
Map2k1,Col8a1,,,,,,,,,,,,,,,,,,
Map2k1,Col8a1,,,,,,,,,,,,,,,,,,
Mapk14,Col8a1,,,,,,,,,,,,,,,,,,
Mapk13,Col8a1,,,,,,,,,,,,,,,,,,
Mapk8,Col8a1,,,,,,,,,,,,,,,,,,
Mapk3,Col7a1,,,,,,,,,,,,,,,,,,
Edn1,Col7a1,,,,,,,,,,,,,,,,,,
Tiprl,Col7a1,,,,,,,,,,,,,,,,,,
Apbb2,Col7a1,,,,,,,,,,,,,,,,,,
Poldip2,Col7a1,,,,,,,,,,,,,,,,,,
Ccnj,Col7a1,,,,,,,,,,,,,,,,,,
Ccnj,Col7a1,,,,,,,,,,,,,,,,,,
Cntrob,Col6a3,,,,,,,,,,,,,,,,,,
Cntrob,Col6a3,,,,,,,,,,,,,,,,,,
Cntrob,Col6a3,,,,,,,,,,,,,,,,,,
Cntrob,Col6a3,,,,,,,,,,,,,,,,,,
Cntrob,Col6a3,,,,,,,,,,,,,,,,,,
Cntrob,Col6a3,,,,,,,,,,,,,,,,,,
Cntrob,Col6a3,,,,,,,,,,,,,,,,,,
Setd2,Col6a3,,,,,,,,,,,,,,,,,,
Setd2,Col6a3,,,,,,,,,,,,,,,,,,
Pim1,Col6a3,,,,,,,,,,,,,,,,,,
