cell_cycle_GO:0007049,extracellular_matrix_GO:0031012,epithelial_to_mesencyhmal_transition_GO:0001837,lipid_catabolic_process_GO:0016042,canonical_glycolysis_GO:0061621,glycolytic_process_GO:0006096,glucose_catabolic_process_GO:0006007,tricarboxylic_acid_cycle_GO:0006099,oxidative_phosphorylation_GO:0006119,fatty_acid_oxidation_GO:0019395,regulation_of_pyruvate_kinase_activity_GO.1903301,regulation_of_glucose_catabolic_process_to_lactate_via_pyruvate_GO.1904023,regulation_of_lipid_storage_GO.0010883,fatty_acid_homeostasis_GO.0055089,glucose_transmembrane_transport_GO.1904659,long-chain_fatty_acid_import_into_cell_GO.0044539,malonyl-CoA_metabolic_process_GO.2001293,response_to_unfolded_protein_GO.0006986,cellular_response_to_hypoxia_GO.0071456,response_to_type_I_interferon_GO.0034340
Chek2,Colq,Akna,Acox1,,Pgk1,,,Pink1,Fabp1,,,,,Slc2a3,,,Hspa8,Tigar,
Chek2,Hpse2,Vangl2,Acox1,,Pgk1,,,Pink1,Fabp3,,,,,Slc2a3,,,Hspa9,Tmbim6,
Chek2,Hpse2,Ctnnb1,Acox2,,Pgk2,,,Ppif,Gcdh,,,,,Slc2a3,,,Hspa13,Trp53,
Chek2,Muc2,Ctnnb1,Acox2,,Pgk2,,,Rhoa,Gcdh,,,,,Slc2a3,,,Hspa14,Trp53,
Chek2,Muc2,Trim62,Acox2,,Pgk2,,,Sdha,Gcdh,,,,,Slc2a4,,,Hspb1,Twist1,
Chek2,Muc2,Trim62,Acox3,,Pklr,,,Sdhaf2,Gm45753,,,,,Slc2a4,,,Hspb8,Twist1,
Lzts2,Lama5,Grem1,Acox3,,Pklr,,,Sdhaf2,Gm49387,,,,,Slc2a4,,,Hspb8,Ubqln1,
Ist1,Lama5,Phldb1,Acox3,,Pkm,,,Sdhc,Hacl1,,,,,Slc2a4,,,Hspd1,Usp19,
Ist1,Lama5,Glipr2,Acoxl,,Pkm,,,Sdhd,Hacl1,,,,,Slc2a4,,,Hspd1,Vasn,
Stag3,Lama5,Wnt5a,Acoxl,,Pkm,,,Shmt2,Hacl1,,,,,Slc2a4,,,Hsph1,Vegfa,
Stag3,Lama5,Wnt2,Acsbg2,,Ppara,,,Shmt2,Hacl1,,,,,Slc2a5,,,Ifng,Vegfa,
Stag3,Lama5,Tbx20,Acsl5,,Ppargc1a,,,Shmt2,Hadh,,,,,Slc2a8,,,Jkamp,Vhl,
Stag3,Lama5,Phldb2,Adipoq,,Prkaa1,,,Slc25a23,Hadh,,,,,Slc2a9,,,Jkamp,Vhl,
Stag3,Lama5,Rgcc,Adora1,,Prkaa2,,,Slc25a33,Hadha,,,,,Slc2a10,,,Manf,Vldlr,
Stag3,Lama5,Gsk3b,Adora1,,Prkag2,,,Snca,Hadha,,,,,Slc2a10,,,Mfn2,Zfp36l1,
Dot1l,Lama5,Tgfbr2,Adora1,,Prkag3,,,Stoml2,Hadha,,,,,Slc2a12,,,Nck1,,
Haus1,Lama5,Tgfbr2,Adra2a,,Prxl2c,,,Stoml2,Hadhb,,,,,Slc5a1,,,Nck1,,
Haus1,Lama5,Hey2,Adtrp,,Psen1,,,Surf1,Hadhb,,,,,Slc5a1,,,Nck2,,
Haus1,Lama5,Hey2,Aig1,,Sirt6,,,Taz,Hadhb,,,,,Slc5a1,,,Nfe2l2,,
Haus1,Lama5,Sfrp1,Akr1b8,,Slc2a6,,,Tefm,Hao1,,,,,Slc5a2,,,Nfe2l2,,
Haus1,Lama5,Sfrp1,Akr1c18,,Slc2a6,,,Tnf,Hao1,,,,,Slc5a2,,,Optn,,
Clta,Lama5,Tgfb3,Akr1c18,,Slc4a1,,,Uqcc2,Hao2,,,,,Slc5a3,,,Pacrg,,
Sstr5,Lama5,Tgfb3,Akr1c18,,Slc4a4,,,Uqcc2,Hsd17b4,,,,,Slc5a4b,,,Parp16,,
1700013H16Rik,Lama5,Tgfb3,Akr1d1,,Slc4a4,,,Uqcc3,Hsd17b4,,,,,Slc5a4b,,,Parp16,,
Mad2l1,Lama5,Tgfb2,Akr1d1,,Stat3,,,Uqcc3,Hsd17b4,,,,,Slc5a9,,,Parp16,,
Mad2l1,Lama5,Tgfb2,Akt1,,Tigar,,,Uqcr10,Hsd17b10,,,,,Slc5a11,,,Parp16,,
Mad2l1,Lama5,Tgfb2,Akt2,,Tigar,,,Uqcrb,Ilvbl,,,,,Slc25a27,,,Pdia6,,
Mad2l1,Lama5,Tgfb2,Alk,,Tkfc,,,Uqcrc1,Irs1,,,,,Slc27a1,,,Pik3r1,,
Mad2l1,Lama5,Tgfb2,Amacr,,Tpi1,,,Uqcrfs1,Irs2,,,,,Slc27a4,,,Pmp22,,
Mad2l1,Lama5,Tgfb1,Angptl3,,Tpi1,,,Uqcrh,Ivd,,,,,Slc45a1,,,Ppp1r15a,,
Mad2l1,Lama5,Tgfb1,Angptl3,,Trex1,,,Uqcrq,Lep,,,,,Slc45a1,,,Ptpn1,,
Mad2l1,Lama5,Tgfb1,Angptl3,,Zbtb7a,,,Vcp,Lonp2,,,,,Sorbs1,,,Ptpn1,,
Mad2l1,Angptl3,Tgfb1,Aoah,,Zbtb20,,,,Mapk14,,,,,Sorbs1,,,Ptpn1,,
Mad2l1,Muc4,Tgfb1,Aoah,,,,,,Mfsd2a,,,,,Sort1,,,Ptpn1,,
Mad2l1,Muc4,Tgfb1,Apoa1,,,,,,Mir199a-2,,,,,Sort1,,,Ptpn2,,
Mad2l1,Hmcn1,Tgfbr3,Apoa2,,,,,,Mir199a-2,,,,,Stxbp3,,,Rhbdd1,,
Ubd,Hmcn1,Tgfbr3,Apoa2,,,,,,Mir214,,,,,Stxbp3,,,Rhbdd1,,
Sra1,Hmcn1,Tgfbr3,Apoa2,,,,,,Mir214,,,,,Stxbp4,,,Rnf121,,
Cks1b,Hmcn1,Tgfbr3,Apoa2,,,,,,Mir696,,,,,Tert,,,Selenos,,
Cks1b,Hmcn1,Tgfbr3,Apoa4,,,,,,Mlycd,,,,,Tnf,,,Selenos,,
Cks1b,Hmcn1,Alx1,Apoa4,,,,,,Mlycd,,,,,Tnf,,,Serp1,,
Topbp1,Spock2,Il17rd,Apoa4,,,,,,Mlycd,,,,,Trarg1,,,Serp1,,
Topbp1,Spock2,Snai1,Apoa5,,,,,,Mlycd,,,,,Trarg1,,,Serp2,,
Topbp1,Lingo1,Snai1,Apoa5,,,,,,Mlycd,,,,,Trib3,,,Stc2,,
Myocd,Ltbp3,Snai1,Apoa5,,,,,,Mlycd,,,,,Tsc1,,,Stt3b,,
Tom1l1,Ltbp3,Snai1,Apoa5,,,,,,Mtor,,,,,Tsc2,,,Stub1,,
Pim3,Gh,Snai1,Apob,,,,,,Nr4a3,,,,,Upk3b,,,Syvn1,,
